id,job_hash,fetch_date,portal,search_keyword,job_title,company_name,location,job_type,salary_range,experience_required,skills_required,posted_date,job_description,apply_link,validation_score,validation_status,ai_summary
20026300-f9c5-4c8c-977f-6b969d9a5b02,2e954d0505bc13ac829a5bbed8b46f02,2026-08-25,LinkedIn,Data Engineer,Senior Data Engineer - Data Engineering,Plaid,Greater Seattle Area,Not Specified,Not Specified,Not Specified,"Data Engineering, Data Systems, Cloud Computing, SQL, Python",2026-08-25,,https://www.linkedin.com/jobs/view/senior-data-engineer-data-engineering-at-plaid-4411666197,85,Valid,"Design, build, and maintain large-scale data systems as a Senior Data Engineer at Plaid."
81f135de-4487-4360-9afe-ef2d85b3d877,240475a28c3c3fb310b12209afaa230c,2026-08-25,LinkedIn,Data Engineer,Senior Data Engineer,Atlassian,"San Francisco, CA",Not Specified,Not Specified,Not Specified,"Data Engineering, Cloud Computing, Big Data, Data Warehousing, SQL",2026-08-24,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-atlassian-4458521144,85,Valid,"Design, build, and maintain large-scale data systems and pipelines as a Senior Data Engineer at Atlassian."
eade6e67-7277-4b20-aa57-b509a5ba7c62,1be27edda3981943b5fb021a3d07f72f,2026-08-25,LinkedIn,Data Engineer,Senior Data Engineer,Jobot,"Chicago, IL",Not Specified,Not Specified,Not Specified,"Data Engineering, Cloud Computing, Big Data, SQL, NoSQL",2026-08-24,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-jobot-4456507586,85,Valid,"Design, build, and maintain large-scale data systems and architectures as a Senior Data Engineer at Jobot."
804f4af7-7745-4b43-8edd-7d3f8a74a9ba,677703a2dc8537d01d16a8af86544d7d,2026-08-25,LinkedIn,Data Engineer,Data Engineer,Eli Lilly and Company,"Indianapolis, IN",Not Specified,Not Specified,Not Specified,"Data Engineering, Data Architecture, SQL, Python, Cloud Computing",2026-08-24,,https://www.linkedin.com/jobs/view/data-engineer-at-eli-lilly-and-company-4458286777,85,Valid,"Design, develop, and maintain large-scale data systems and architectures as a Data Engineer at Eli Lilly and Company."
d4e326c3-f27d-4c8e-b37d-02df0d06db8c,47f40970219dc710c5ac7538563c263a,2026-08-25,LinkedIn,Data Engineer,Senior Data Engineer,Tatari,"San Francisco, CA",Not Specified,Not Specified,Not Specified,"Data Engineering, Big Data, Cloud Computing, SQL, Python",2026-08-24,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-tatari-4443800040,85,Valid,"Design, build, and maintain large-scale data systems as a Senior Data Engineer at Tatari."
6a053496-7ec1-480b-92ed-1de070af58f3,83abd92b1a2cdb1b205141c7f2c3b37f,2026-08-25,LinkedIn,Data Engineer,Data Engineer,Delta Defense LLC,"West Bend, WI",Not Specified,Not Specified,Not Specified,"Data Engineering, SQL, Python, Cloud Computing, Data Warehousing",2026-08-24,,https://www.linkedin.com/jobs/view/data-engineer-at-delta-defense-llc-4458288363,85,Valid,"Design, build, and maintain large-scale data systems and pipelines as a Data Engineer at Delta Defense LLC."
5a5e2708-cfa6-4769-af62-6234db3c8dc1,eb46d771363671ce9d6bdad686587e20,2026-08-25,LinkedIn,Data Engineer,Sr. Data Engineer,Fabletics,"El Segundo, CA",Not Specified,Not Specified,Not Specified,"Data Engineering, Data Warehousing, Big Data, Cloud Computing, SQL",2026-08-24,,https://www.linkedin.com/jobs/view/sr-data-engineer-at-fabletics-4458271826,85,Valid,"Design, develop, and maintain large-scale data systems for Fabletics as a Senior Data Engineer."
07685888-ae5f-4c16-9a58-ef1b30da1458,7aeef405d9af1fd2cceffc810bf3e558,2026-08-25,LinkedIn,Data Engineer,"Data Engineer (dbt, Snowflake)",Mitchell Martin Inc.,"Charlotte, NC",Not Specified,Not Specified,Not Specified,"dbt, Snowflake, data engineering, data pipelines, SQL",2026-08-25,,https://www.linkedin.com/jobs/view/data-engineer-dbt-snowflake-at-mitchell-martin-inc-4456902885,85,Valid,"Design, develop, and maintain data pipelines using dbt and Snowflake."
6751bafa-c59a-430e-8def-32a4892b8af7,b1d65b9f172c68bbc775a63932a98a7b,2026-08-25,LinkedIn,Data Engineer,Senior Data Engineer,Tatari,"Los Angeles, CA",Not Specified,Not Specified,Not Specified,"Data Engineering, Big Data, Cloud Computing, SQL, Python",2026-08-24,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-tatari-4443494101,85,Valid,"Design, build, and maintain large-scale data systems as a Senior Data Engineer at Tatari."
cf0afc82-062c-44f0-8750-e0c59d68a844,cd72ab559d27d57f2a201eb3ea23b1ed,2026-08-25,LinkedIn,Data Engineer,Senior Data Engineer,Jobot,"New York, NY",Not Specified,Not Specified,Not Specified,"Data Engineering, Cloud Computing, Big Data, SQL, NoSQL",2026-08-24,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-jobot-4455897702,85,Valid,"Design, build, and maintain large-scale data systems and pipelines as a Senior Data Engineer at Jobot."
382abecb-802b-4afd-af92-f013882926a1,ab17b6960d723a2bdf687594baec46c4,2026-08-25,LinkedIn,Data Engineer,Senior Data Engineer,Gen II Fund Services,"New York, NY",Not Specified,Not Specified,Not Specified,"Data Engineering, Data Architecture, Cloud Computing, Big Data, SQL",2026-08-24,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-gen-ii-fund-services-4458293943,85,Valid,"Design, develop, and maintain large-scale data systems and architectures as a Senior Data Engineer at Gen II Fund Services."
9c2d87bc-a27b-4930-b66e-edef0f8d4a76,38f4225337381c0a0c565430964b94b4,2026-08-25,LinkedIn,Data Engineer,Senior Data Engineer,Intrepid Direct Insurance,"Overland Park, KS",Not Specified,Not Specified,Not Specified,"Data Engineering, Cloud Computing, Big Data, SQL, NoSQL",2026-08-24,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-intrepid-direct-insurance-4400306736,85,Valid,"Design, develop, and maintain large-scale data systems and architectures for Intrepid Direct Insurance."
c92e69e0-735e-44f7-b5df-bbf8aec09272,5a73ff278eb297ed81e265aae804f1e6,2026-08-25,LinkedIn,Data Engineer,Data Engineer,Naval Nuclear Laboratory (FMP),"West Mifflin, PA",Not Specified,Not Specified,Not Specified,"Data Engineering, SQL, NoSQL, Python, Cloud Computing",2026-08-24,,https://www.linkedin.com/jobs/view/data-engineer-at-naval-nuclear-laboratory-fmp-4458515888,80,Valid,"Design, develop, and maintain large-scale data systems for the Naval Nuclear Laboratory."
44881f69-7e1d-41db-9637-23122e43bef6,58a6f2ad56ff12da1b7da4f16aa1bc3c,2026-08-25,LinkedIn,Data Engineer,"Data Engineer, Enterprise Analytics Transformation",EIQdigital,"Houston, TX",Not Specified,Not Specified,Not Specified,"Data Engineering, Enterprise Analytics, Data Warehousing, ETL, Cloud Computing",2026-08-24,,https://www.linkedin.com/jobs/view/data-engineer-enterprise-analytics-transformation-at-eiqdigital-4457100023,85,Valid,Design and implement data engineering solutions to support enterprise analytics transformation.
cd32d6f2-4043-4e37-8759-d1256d9927b3,f7cf887532097d24bd51bdc3e224f877,2026-08-25,LinkedIn,Data Engineer,Sr. Data Engineer,Conagra Brands,"Omaha, NE",Not Specified,Not Specified,Not Specified,"Data Engineering, SQL, NoSQL, Cloud Computing, Data Warehousing",2026-08-24,,https://www.linkedin.com/jobs/view/sr-data-engineer-at-conagra-brands-4452766042,85,Valid,"Design, develop, and maintain large-scale data systems for Conagra Brands."
6d4b68bb-4b8c-4c1f-a2e7-4f47dd7767c9,aeadc21b459a17486c8c04e90c3eca93,2026-08-25,LinkedIn,Data Engineer,Data Engineer Stf - E4,Lockheed Martin,"Lexington, KY",Not Specified,Not Specified,Not Specified,"Data Engineering, Cloud Computing, Big Data, SQL, Python",2026-08-24,,https://www.linkedin.com/jobs/view/data-engineer-stf-e4-at-lockheed-martin-4456512652,85,Valid,"Design, develop, and maintain large-scale data systems as a Data Engineer at Lockheed Martin."
